id,itemCode,skill,cefrLevel,type,status,reason,imageDescription,prompt
cmp0bvyi6006knuc6wlt07man,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. Tell me what you see.

[IMAGE DESCRIPTION: A simple, cartoo","Look at the picture. Tell me what you see.  [IMAGE DESCRIPTION: A simple, cartoon-style illustration showing a young chi"
cmp0bvylh006lnuc61ny7gcwi,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. What can you see?","Look at the picture. What can you see?"
cmp0bvyn1006mnuc65tph10qg,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. Tell me about this animal.","Look at the picture. Tell me about this animal."
cmp0bygma006onuc6yaemlg0a,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at these,"generic family members (e","Examiner: 'Hello. Look at these pictures. I point to a person. Tell me: 'Who is this?''  [Examiner presents 3-4 simple, "
cmoukeeyt000inu2jqpwgg9py,,SPEAKING,A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:look at the picture,"a classroom","Look at the picture of a classroom. [EXAMINER: show a classroom scene with children, desks, a board] Tell me what you ca"
cmouj7hzn0022numgml7vgwxf,primary-speaking-a1-a1-075,SPEAKING,A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:describe what you see,"a family at the park","Look at a picture of a family at the park. Describe what you see. Use words like: family, playing, running, happy."
cmp0adhy4004gnuc6z0k17jsh,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. Describe what you see. What can you say about the place, th","Look at the picture. Describe what you see. What can you say about the place, the people, and their journey?"
cmp0adi1e004hnuc6nhzfg64f,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Image: A man and a woman are sitting inside a train carriage. They are smiling a","Image: A man and a woman are sitting inside a train carriage. They are smiling and looking out of a window. There is a s"
cmp0adi2x004inuc65xgak9eh,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. Please tell me what you see. Tell me about the people and t","Look at the picture. Please tell me what you see. Tell me about the people and the place. What do you think is happening"
cmp0agxae004mnuc6m029o71t,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. This person likes to paint. What skill do you want to learn","Look at the picture. This person likes to paint. What skill do you want to learn? Why do you want to learn it?"
cmp0agxca004nnuc696nrxiry,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. This person is cooking. What do you want to learn to do?","Look at the picture. This person is cooking. What do you want to learn to do?"
cmp0agxdy004onuc6i2wjuo5b,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"a person's hands holding an acoustic guitar, positioned as if playing","Image description: A close-up picture of a person's hands holding an acoustic guitar, positioned as if playing. The back"
cmp0al70n004snuc6k6d9f5eb,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"[Image: A gender-neutral person with a backpack, smiling and talking to a local ","[Image: A gender-neutral person with a backpack, smiling and talking to a local seller (gender-neutral) at an outdoor ma"
cmp0al73k004tnuc6pmamsrfo,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:in the picture,"Tell me what you see in the picture. Then, tell me what you can do if you learn ","Tell me what you see in the picture. Then, tell me what you can do if you learn a new language."
cmp0al76f004unuc6dzm4v7c3,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"Look at this picture. What do you see? What is the person doing?","Look at this picture. What do you see? What is the person doing?"
cmp0apmh6004ynuc66id28sr8,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture.

[IMAGE DESCRIPTION: A person is sitting comfortably on a s","Look at the picture.  [IMAGE DESCRIPTION: A person is sitting comfortably on a sofa in a simple, tidy living room. They "
cmp0apmiv004znuc6crhs0h66,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"Look at this picture.

[Image: A person is sitting comfortably on a sofa, readin","Look at this picture.  [Image: A person is sitting comfortably on a sofa, reading an open book. The background is a simp"
cmp0apmkh0050nuc6azrsoavm,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"book or film is it","Image Description: A simple, colourful illustration showing a young adult (gender-neutral appearance) sitting comfortabl"
cmp0atjbm0054nuc6i15dvzp1,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"Look at this picture of an office. Tell me what you see in the picture.","Look at this picture of an office. Tell me what you see in the picture."
cmp0atjes0056nuc6cp2b41kc,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"a modern office desk setup","Image content: A clear, minimalist image of a modern office desk setup. It shows a white desk, a computer monitor, a key"
cmp0axhpn005anuc6ks9fa3eb,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"Look at this picture. Tell me what you see. What are the people doing?

[IMAGE D","Look at this picture. Tell me what you see. What are the people doing?  [IMAGE DESCRIPTION: A colourful and bright class"
cmp0axhre005bnuc6ptld0k90,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"students and a teacher in a classroom","Imagine you see a picture of students and a teacher in a classroom. The classroom is bright. Students are at desks. They"
cmp0axhvc005cnuc6no46q4r1,,SPEAKING,A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. This is a school. Tell me about the people. What are they d","Look at the picture. This is a school. Tell me about the people. What are they doing?"
cmp07hmey0000nuc6tdfmv127,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:describe what you see,"Describe what you see in the picture. Then, tell me about a special journey you ","Describe what you see in the picture. Then, tell me about a special journey you took. Where did you go? Who were you wit"
cmp07hmko0001nuc6zbfoxqmk,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"people travelling on a train","Look at the picture. It shows people travelling on a train.   1. Please describe what you can see in the picture.   2. N"
cmp07hmma0002nuc6ucn5l6mq,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:describe what you see,"Describe what you see in the picture and imagine where these people are going. T","Describe what you see in the picture and imagine where these people are going. Tell me why this journey might be special"
cmp07nrvr0009nuc6bky9kvgt,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:picture 1,"Describe what you can see in Picture 1 and Picture 2. Using these pictures as a ","Describe what you can see in Picture 1 and Picture 2. Using these pictures as a starting point, compare city life and co"
cmp07nrzb000anuc69aym2h55,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at these,"a city, and Picture 2 shows the countryside","Look at these two pictures. Picture 1 shows a city, and Picture 2 shows the countryside. You will have 30 seconds to pre"
cmp07ns1e000bnuc6545tfplq,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at these,"a busy city street, and Picture B shows a quiet countryside scene","Look at these two pictures. Picture A shows a busy city street, and Picture B shows a quiet countryside scene.  [Image A"
cmp07t6rm000jnuc6ytwd3iqb,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"a person (gender-neutral) sitting on a sofa, either holding an open book or look","Image: A simple, culturally neutral illustration of a person (gender-neutral) sitting on a sofa, either holding an open "
cmp07t6tg000knuc64rk5611v,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"https://i.imgur.com/example_reading_image.jpg

Look at the picture. First, descr","https://i.imgur.com/example_reading_image.jpg  Look at the picture. First, describe what you see in the picture. This pe"
cmp07zbkb000rnuc6mrqtazsl,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"a public park with a lot of rubbish","Look at this picture. It shows a public park with a lot of rubbish. Please describe what you see in the picture. Then, t"
cmp07zbna000snuc64ftxizqp,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:describe what you see,"Describe what you see in the picture. What environmental problem does it show? I","Describe what you see in the picture. What environmental problem does it show? Is this a problem in your town or country"
cmp07zbot000tnuc68ths1rmh,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"a river with a lot of waste","Look at the picture. It shows a river with a lot of waste.  [IMAGE: A photograph of a riverbank covered in various types"
cmp085a9g0010nuc6momcrt77,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"three people sitting around a table in an office","Look at the picture. It shows three people sitting around a table in an office. They are looking at some papers and a la"
cmp085abw0011nuc6tmql49l8,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:in the picture,"three people working together","Look at the image of three people working together.  In the picture, you can see three people sitting around a modern wo"
cmp085af80012nuc6hg2ihozb,,SPEAKING,A2,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"team was it","Look at the picture. Describe what the people are doing. Do you like working with other people? Why/Why not? Have you ev"
cmp087sib0014nuc63iyffzy7,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:describe the photo,"Describe the photograph in detail, and then tell us about a memorable journey yo","Describe the photograph in detail, and then tell us about a memorable journey you have taken."
cmp087so10016nuc6liw5smrl,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"the landscape","Image description: A modern train is seen from the side, speeding through a very green valley with mountains in the back"
cmp08ctq0001dnuc6nd6c629k,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at these,"living in a city versus living in the countryside","You have 30 seconds to prepare your answer. Then, you will have up to 2 minutes to speak.  Look at these two pictures.  "
cmp08ctsc001enuc6wdaw83t4,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at these,"different places to live","Look at these two pictures. They show different places to live.  **Picture 1: City Life** A busy city street with tall, "
cmp08cttx001fnuc6l6vqcox0,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"different places to live","Here are two pictures. They show different places to live.   **Picture 1:** A busy city street with tall modern building"
cmp08nt78001vnuc6ksz04jwd,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:in the picture,"First, describe what you can see in the picture.

Then, choose one environmental","First, describe what you can see in the picture.  Then, choose one environmental challenge that is important where you l"
cmp08nt8y001wnuc6utlb63hk,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"this problem in your region, or in general","Look at the picture.  You will have 30 seconds to prepare your answer. Then, speak for 1.5 to 2 minutes.  Please describ"
cmp08ntao001xnuc68ys3ogoq,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"plastic waste, such as bottles, bags, and containers","Look at the picture below. You will have 30 seconds to prepare your answer. Then, you should speak for 1-2 minutes.  **["
cmp08tfgh0024nuc6tsthvh9v,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:in the picture,"working in a team","Please describe what you can see in the picture. Then, tell me what you think are the benefits of working in a team. Exp"
cmp08tfi10025nuc649abvmdz,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"four adults (two men, two women) are gathered around a table in a bright, modern","Image description: A diverse group of four adults (two men, two women) are gathered around a table in a bright, modern o"
cmp08tfjn0026nuc6zfwqh1sn,,SPEAKING,B1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"four adults (two men, two women) sitting around a table in a bright, modern offi","Look at the picture below.  [IMAGE: A diverse group of four adults (two men, two women) sitting around a table in a brig"
